pl_orbper,pl_discmethod,st_dist,pl_rade,pl_bmasse,pl_orbsmax,st_teff,pl_pnum,st_rad,st_mass,pl_publ_date
9.61840000,Radial Velocity,12.94,,6.60000,0.079900,4956.00,5,,0.77,2009-01
20.43200000,Radial Velocity,12.94,,9.50000,0.132100,4956.00,5,,0.77,2009-01
51.76000000,Radial Velocity,12.94,,5.20000,0.247000,4956.00,5,,0.77,2013-01
197.80000000,Radial Velocity,12.94,,7.10000,0.600000,4956.00,5,,0.77,2013-01
264.14999000,Radial Velocity,34.12,,1484.26610,0.850000,6165.00,1,1.21,1.45,2003-04
963.00000000,Radial Velocity,43.03,,807.25000,,5010.00,1,,0.70,2004-11
1.32830000,Radial Velocity,43.03,,5838.29000,,,1,,0.40,2003-06
327.80000000,Radial Velocity,56.30,,190.69000,0.920000,5508.00,1,1.00,0.96,2010-11
36.99870000,Radial Velocity,85.81,,810.46650,0.238000,6093.00,1,1.60,1.32,2007-10
472.30000000,Radial Velocity,50.40,,184.33000,1.190000,5752.00,1,1.32,1.00,2010-11
226.93000000,Radial Velocity,34.39,,59.49530,0.681300,5434.00,2,,0.82,2009-03
342.85000000,Radial Velocity,34.39,,209.09150,0.897200,5434.00,2,,0.82,2009-03
963.60000000,Radial Velocity,46.94,,568.89000,1.920000,5616.00,1,,1.02,2005-01
44.07300000,Radial Velocity,34.89,,137.62039,0.237000,5294.00,1,0.94,0.92,2008-08
3.02357300,Radial Velocity,29.58,,71.80000,0.039800,5285.00,1,,0.92,2000-06
4.08450000,Radial Velocity,37.50,,22.24810,0.050000,5657.00,2,1.08,0.96,2009-03
4885.00000000,Radial Velocity,148.81,,985.20000,5.500000,5988.00,1,1.53,0.91,2010-03
24.35560000,Radial Velocity,19.65,,177.98480,0.150000,4976.00,1,0.74,0.66,2000-04
74.72000000,Radial Velocity,8.80,,16.90000,0.320000,5166.00,2,,0.80,2011-08
525.80000000,Radial Velocity,8.80,,24.00000,1.180000,5166.00,2,,0.80,2011-08
340.94000000,Radial Velocity,72.01,,666.17168,1.063000,5041.00,1,4.41,1.38,2007-08
18.20132000,Radial Velocity,37.71,,1264.96340,0.140000,5751.00,1,1.48,1.21,1999-01
1378.00000000,Radial Velocity,50.75,,1010.69940,2.510000,5879.00,1,1.42,1.31,2002-12
3638.00000000,Radial Velocity,39.98,,2192.90000,5.020000,6017.00,1,1.73,1.29,2013-03
1333.00000000,Radial Velocity,34.20,,819.97000,2.370000,6254.00,1,1.31,1.28,2008-02
1035.70000000,Radial Velocity,33.00,,251.00000,2.070000,6150.00,1,,1.11,2012-04
606.30000000,Radial Velocity,72.74,,508.21017,1.565000,4982.00,2,4.92,1.39,2011-01
852.50000000,Radial Velocity,72.74,,385.84562,1.960000,4982.00,2,4.92,1.39,2011-01
1260.00000000,Radial Velocity,46.03,,5689.15700,2.410000,5760.00,1,1.03,1.27,2005-09
,Imaging,39.29,,7656.09700,487.100000,,1,,,2006-11
1920.09998000,Radial Velocity,47.86,,1099.69180,3.070000,5783.00,2,1.10,1.03,2010-02
1733.00000000,Radial Velocity,28.74,,73.10090,2.550000,5026.00,1,0.78,0.58,2011-11
279.80000000,Radial Velocity,92.74,,435.41000,0.896000,6176.00,1,1.33,1.22,2008-11
190.32349400,Transit,729.00,8.180,,0.721000,5854.00,2,2.19,,2014-03
6.48163000,Transit,481.40,2.370,7.30000,,5952.00,2,1.32,1.04,2014-02
21.22270000,Transit,481.40,2.520,21.80000,,5952.00,2,1.32,1.04,2014-02
12.69111200,Transit,596.52,1.830,,0.107000,5960.00,2,1.15,,2014-03
